Kilobytes,Milliseconds
128.000000,0.081000
256.000000,0.148000
384.000000,0.225000
512.000000,0.305000
640.000000,0.463000
768.000000,0.437000
896.000000,0.498000
1024.000000,0.568000
1152.000000,1.900000
1280.000000,0.706000
1408.000000,0.781000
1536.000000,0.851000
1664.000000,0.919000
1792.000000,0.982000
1920.000000,1.050000
2048.000000,1.159000
2176.000000,1.223000
2304.000000,1.251000
2432.000000,1.324000
2560.000000,1.402000
2688.000000,1.477000
2816.000000,1.549000
2944.000000,1.607000
3072.000000,1.743000
3200.000000,1.745000
3328.000000,1.827000
3456.000000,1.880000
3584.000000,1.936000
3712.000000,2.014000
3840.000000,2.406000
3968.000000,2.439000
4096.000000,2.665000
4224.000000,2.621000
4352.000000,1.994000
4480.000000,2.442000
4608.000000,2.531000
4736.000000,2.597000
4864.000000,2.783000
4992.000000,3.198000
5120.000000,2.819000
5248.000000,3.338000
5376.000000,2.910000
5504.000000,3.015000
5632.000000,3.134000
5760.000000,3.172000
5888.000000,3.546000
6016.000000,3.345000
6144.000000,3.330000
6272.000000,3.545000
6400.000000,3.486000
6528.000000,3.534000
6656.000000,3.667000
6784.000000,3.721000
6912.000000,3.762000
7040.000000,3.809000
7168.000000,4.173000
7296.000000,4.280000
7424.000000,4.163000
7552.000000,4.081000
7680.000000,3.829000
7808.000000,4.298000
7936.000000,4.338000
8064.000000,4.355000
8192.000000,4.464000
8320.000000,4.704000
8448.000000,4.753000
8576.000000,4.668000
8704.000000,4.786000
8832.000000,5.008000
8960.000000,4.493000
9088.000000,4.941000
9216.000000,5.015000
9344.000000,5.374000
9472.000000,5.442000
9600.000000,5.316000
9728.000000,5.369000
9856.000000,5.329000
9984.000000,5.460000
