Kilobyte,Milliseconds
128.000000,0.242000
256.000000,0.190000
384.000000,0.269000
512.000000,0.653000
640.000000,0.634000
768.000000,0.486000
896.000000,0.572000
1024.000000,0.854000
1152.000000,0.793000
1280.000000,0.770000
1408.000000,0.828000
1536.000000,0.845000
1664.000000,0.929000
1792.000000,1.020000
1920.000000,1.086000
2048.000000,1.158000
2176.000000,1.289000
2304.000000,1.396000
2432.000000,1.689000
2560.000000,1.681000
2688.000000,1.738000
2816.000000,1.861000
2944.000000,1.786000
3072.000000,1.767000
3200.000000,1.899000
3328.000000,1.951000
3456.000000,1.988000
3584.000000,2.116000
3712.000000,2.029000
3840.000000,2.091000
3968.000000,2.196000
4096.000000,2.220000
4224.000000,2.434000
4352.000000,2.682000
4480.000000,2.641000
4608.000000,2.568000
4736.000000,2.903000
4864.000000,3.018000
4992.000000,2.705000
5120.000000,3.082000
5248.000000,3.321000
5376.000000,2.951000
5504.000000,3.043000
5632.000000,2.572000
5760.000000,3.114000
5888.000000,3.565000
6016.000000,3.711000
6144.000000,4.030000
6272.000000,4.288000
6400.000000,3.788000
6528.000000,3.816000
6656.000000,3.637000
6784.000000,3.693000
6912.000000,4.055000
7040.000000,3.887000
7168.000000,3.820000
7296.000000,4.132000
7424.000000,4.358000
7552.000000,4.197000
7680.000000,4.484000
7808.000000,4.219000
7936.000000,4.856000
8064.000000,4.378000
8192.000000,4.496000
8320.000000,4.698000
8448.000000,4.842000
8576.000000,4.761000
8704.000000,4.775000
8832.000000,5.158000
8960.000000,4.918000
9088.000000,4.864000
9216.000000,5.174000
9344.000000,5.066000
9472.000000,5.697000
9600.000000,5.597000
9728.000000,5.330000
9856.000000,5.387000
9984.000000,5.816000
